symbol,side,direction,create_time,entry_time,exit_time,create_idx,entry_idx,exit_idx,entry_price,sl_price,tp_price,structural_stop_price,stop_distance_pips,stop_distance_atr,origin_swing_price,origin_swing_idx,sweep_price,sweep_idx,bos_break_price,bos_break_idx,bos_level,bos_direction,zone_low,zone_high,zone_size_atr,bars_since_fvg_creation,fvg_type,fvg_mid,pnl_r,holding_bars,exit_reason,mfe_r,mae_r
GBPUSD,SHORT,-1,2020-08-11 22:00:00+00:00,2020-08-12 11:00:00+00:00,2020-08-12 12:00:00+00:00,63981,63994,63995,1.30532,1.30167,1.2980200000000002,1.30167,0.003649999999999931,2.154300168634047,1.30167,63990,1.30167,63991,1.30349,63991,1.30552,-1,1.30629,1.308,0.6562500000000413,13,fvg_bearish,1.307145,1.0,1,sl_hit,0.2054794520548062,-0.336986301369887
GBPUSD,LONG,1,2020-09-16 14:00:00+00:00,2020-09-16 21:00:00+00:00,2020-09-16 22:00:00+00:00,64597,64604,64605,1.29513,1.3007,1.30627,1.3007,0.005570000000000075,1.9221099334483764,1.3007,64600,1.3007,64601,1.29792,64601,1.29149,1,1.29496,1.29531,0.17798764983646412,7,fvg_bullish,1.2951350000000001,1.0,1,sl_hit,0.4201077199282225,-0.20646319569119728
GBPUSD,LONG,1,2020-09-16 13:00:00+00:00,2020-09-17 03:00:00+00:00,2020-09-17 04:00:00+00:00,64596,64610,64611,1.29344,1.3007,1.30796,1.3007,0.007260000000000044,2.793842770753155,1.3007,64600,1.3007,64601,1.29792,64601,1.29149,1,1.29128,1.29367,1.31992110453653,14,fvg_bullish,1.292475,1.0,1,sl_hit,0.21487603305785075,-0.3030303030302984
GBPUSD,LONG,1,2020-09-16 12:00:00+00:00,2020-09-17 06:00:00+00:00,2020-09-17 07:00:00+00:00,64595,64613,64614,1.2913000000000001,1.3007,1.3100999999999998,1.3007,0.009399999999999853,3.626343345274108,1.3007,64600,1.3007,64601,1.29792,64601,1.29149,1,1.2899,1.29077,0.5375110326566047,18,fvg_bullish,1.290335,1.0,1,sl_hit,0.12872340425531406,-0.04361702127659871
GBPUSD,LONG,1,2020-12-03 14:00:00+00:00,2020-12-04 10:00:00+00:00,2020-12-04 11:00:00+00:00,65937,65957,65958,1.34189,1.34998,1.3580699999999999,1.34998,0.00808999999999993,4.257894736842111,1.34998,65940,1.34998,65941,1.34954,65941,1.34409,1,1.3421,1.34279,0.3788235294116853,20,fvg_bullish,1.342445,1.0,1,sl_hit,0.9233621755253313,-0.009888751545127403
GBPUSD,SHORT,-1,2021-03-02 04:00:00+00:00,2021-03-02 13:00:00+00:00,2021-03-02 14:00:00+00:00,67375,67384,67385,1.3927,1.38588,1.37906,1.38588,0.006820000000000048,3.0311111111111244,1.38588,67382,1.38588,67383,1.38923,67383,1.3903699999999999,-1,1.39118,1.39225,0.45796392540503056,9,fvg_bearish,1.391715,1.0,1,sl_hit,0.21554252199414545,-0.02346041055717549
GBPUSD,SHORT,-1,2021-06-18 23:00:00+00:00,2021-06-21 01:00:00+00:00,2021-06-21 02:00:00+00:00,69264,69266,69267,1.38159,1.37915,1.37671,1.37915,0.0024399999999999977,1.0058892815076752,1.37915,69264,1.37915,69265,1.37954,69265,1.38955,-1,1.38129,1.38174,0.1757812500000268,2,fvg_bearish,1.3815149999999998,1.0,1,sl_hit,0.01639344262296723,-0.29508196721304614
GBPUSD,LONG,1,2021-06-21 20:00:00+00:00,2021-06-22 02:00:00+00:00,2021-06-22 03:00:00+00:00,69285,69291,69292,1.3924,1.3936600000000001,1.3949200000000002,1.3936600000000001,0.0012600000000000389,0.8517624336069883,1.3936600000000001,69287,1.3936600000000001,69290,1.393,69290,1.38289,1,1.39176,1.39237,0.28580990629183467,6,fvg_bullish,1.392065,1.0,1,sl_hit,0.08730158730162786,-1.2460317460317643
GBPUSD,LONG,1,2021-06-21 18:00:00+00:00,2021-06-22 04:00:00+00:00,2021-06-22 05:00:00+00:00,69283,69293,69294,1.39092,1.3936600000000001,1.3964000000000003,1.3936600000000001,0.0027400000000001867,2.020010531859004,1.3936600000000001,69287,1.3936600000000001,69290,1.393,69290,1.38289,1,1.38984,1.3902700000000001,0.19325842696635923,10,fvg_bullish,1.390055,1.0,1,sl_hit,0.37226277372261,-0.10218978102191201
GBPUSD,LONG,1,2021-06-21 17:00:00+00:00,2021-06-22 08:00:00+00:00,2021-06-22 09:00:00+00:00,69282,69297,69298,1.38938,1.3936600000000001,1.3979400000000002,1.3936600000000001,0.0042800000000000615,3.8141311266709916,1.3936600000000001,69287,1.3936600000000001,69290,1.393,69290,1.38289,1,1.38802,1.3895,0.6605036659228206,15,fvg_bullish,1.38876,1.0,1,sl_hit,0.38785046728971284,0.002336448598146114
GBPUSD,SHORT,-1,2021-08-17 18:00:00+00:00,2021-08-18 04:00:00+00:00,2021-08-18 05:00:00+00:00,70267,70277,70278,1.37512,1.3726,1.3700800000000002,1.3726,0.0025199999999998557,1.8289269051320856,1.3726,70268,1.3726,70273,1.37356,70273,1.38277,-1,1.3748,1.37524,0.2541254125412537,10,fvg_bearish,1.3750200000000001,1.0,1,sl_hit,0.4523809523809461,-0.15079365079367807
GBPUSD,SHORT,-1,2021-08-17 17:00:00+00:00,2021-08-18 11:00:00+00:00,2021-08-18 12:00:00+00:00,70266,70284,70285,1.37573,1.3726,1.3694700000000002,1.3726,0.003129999999999855,2.6429433051869147,1.3726,70268,1.3726,70273,1.37356,70273,1.38277,-1,1.3759000000000001,1.37667,0.44693200663346433,18,fvg_bearish,1.3762850000000002,1.0,1,sl_hit,0.3162939297124186,-0.07348242811507513
GBPUSD,SHORT,-1,2022-10-19 15:00:00+00:00,2022-10-19 16:00:00+00:00,2022-10-19 17:00:00+00:00,77587,77588,77589,1.1238299999999999,1.1221700000000001,1.1205100000000003,1.1221700000000001,0.0016599999999997728,0.5707269155205524,1.1221700000000001,77586,1.1221700000000001,77587,1.12458,77587,1.1280000000000001,-1,1.12499,1.12522,0.0821638173003944,1,fvg_bearish,1.125105,1.0,1,sl_hit,0.39156626506018455,-2.385542168675137
GBPUSD,LONG,1,2023-02-01 22:00:00+00:00,2023-02-02 11:00:00+00:00,2023-02-02 12:00:00+00:00,79356,79369,79370,1.23442,1.24003,1.2456399999999999,1.24003,0.005609999999999893,2.74040474528958,1.24003,79359,1.24003,79360,1.23937,79360,1.23372,1,1.23109,1.23515,1.5784504304359575,13,fvg_bullish,1.23312,1.0,1,sl_hit,0.03208556149729953,-0.6060606060606301
GBPUSD,SHORT,-1,2023-02-10 19:00:00+00:00,2023-02-13 00:00:00+00:00,2023-02-13 01:00:00+00:00,79520,79524,79525,1.2053099999999999,1.2046999999999999,1.2040899999999999,1.2046999999999999,0.0006099999999999994,0.23552123552123702,1.2046999999999999,79522,1.2046999999999999,79523,1.20548,79523,1.20893,-1,1.20651,1.20695,0.16400425985090453,4,fvg_bearish,1.2067299999999999,1.0,1,sl_hit,1.147540983606432,-0.2622950819674757
GBPUSD,SHORT,-1,2023-03-02 15:00:00+00:00,2023-03-02 17:00:00+00:00,2023-03-02 18:00:00+00:00,79849,79851,79852,1.19533,1.19252,1.18971,1.19252,0.002809999999999979,1.0861402540033076,1.19252,79849,1.19252,79850,1.19384,79850,1.19648,-1,1.1957200000000001,1.19589,0.06860766791573834,2,fvg_bearish,1.195805,1.0,1,sl_hit,0.6014234875444775,-0.3309608540925638
GBPUSD,LONG,1,2023-04-03 22:00:00+00:00,2023-04-04 00:00:00+00:00,2023-04-04 01:00:00+00:00,80382,80384,80385,1.2415,1.24234,1.24318,1.24234,0.0008399999999999519,0.4479999999999763,1.24234,80382,1.24234,80383,1.2414399999999999,80383,1.23972,1,1.23972,1.24081,0.5151924375422183,2,fvg_bullish,1.240265,1.0,1,sl_hit,0.6785714285714192,-0.11904761904761275
GBPUSD,SHORT,-1,2023-05-17 08:00:00+00:00,2023-05-17 16:00:00+00:00,2023-05-17 17:00:00+00:00,81136,81144,81145,1.24535,1.24217,1.23899,1.24217,0.0031799999999999606,1.6507230255839656,1.24217,81138,1.24217,81139,1.24275,81139,1.2476099999999999,-1,1.24797,1.2482,0.23232323232318086,8,fvg_bearish,1.248085,1.0,1,sl_hit,0.29245283018864365,-0.7264150943396424
GBPUSD,LONG,1,2023-08-16 11:00:00+00:00,2023-08-16 13:00:00+00:00,2023-08-16 14:00:00+00:00,82699,82701,82702,1.27404,1.27663,1.2792199999999998,1.27663,0.00258999999999987,1.8518896833502712,1.27663,82699,1.27663,82700,1.27591,82700,1.27524,1,1.2732700000000001,1.27385,0.4533780011165382,2,fvg_bullish,1.27356,1.0,1,sl_hit,0.16602316602314748,-0.21621621621627182
GBPUSD,LONG,1,2023-08-29 03:00:00+00:00,2023-08-29 10:00:00+00:00,2023-08-29 11:00:00+00:00,82907,82914,82915,1.26116,1.26323,1.2653,1.26323,0.0020700000000000163,1.7779141104293914,1.26323,82910,1.26323,82913,1.26125,82913,1.26108,1,1.26093,1.26102,0.07772979642189431,7,fvg_bullish,1.2609750000000002,1.0,1,sl_hit,0.3574879227052933,-0.2995169082125894
GBPUSD,LONG,1,2023-11-20 04:00:00+00:00,2023-11-20 13:00:00+00:00,2023-11-20 14:00:00+00:00,84322,84331,84332,1.24711,1.25101,1.25491,1.25101,0.0039000000000000146,2.3718505647263757,1.25101,84329,1.25101,84330,1.24716,84330,1.24401,1,1.24557,1.24665,0.6096774193548233,9,fvg_bullish,1.24611,1.0,1,sl_hit,0.179487179487216,-0.18461538461539775
GBPUSD,SHORT,-1,2023-12-06 22:00:00+00:00,2023-12-07 02:00:00+00:00,2023-12-07 03:00:00+00:00,84628,84632,84633,1.25603,1.25516,1.2542900000000001,1.25516,0.0008699999999999264,0.6086956521738387,1.25516,84628,1.25516,84630,1.25596,84630,1.25773,-1,1.25616,1.2566,0.2544403139198601,4,fvg_bearish,1.25638,1.0,1,sl_hit,0.8160919540230442,-0.5172413793104592
GBPUSD,SHORT,-1,2024-03-21 19:00:00+00:00,2024-03-22 03:00:00+00:00,2024-03-22 04:00:00+00:00,86399,86407,86408,1.26734,1.26507,1.2628,1.26507,0.0022699999999999942,1.4149599287622172,1.26507,86402,1.26507,86403,1.2653699999999999,86403,1.26845,-1,1.2673,1.26901,0.8973013493252872,8,fvg_bearish,1.2681550000000001,1.0,1,sl_hit,0.9955947136563588,-0.07048458149786803
GBPUSD,LONG,1,2024-04-29 19:00:00+00:00,2024-04-30 00:00:00+00:00,2024-04-30 01:00:00+00:00,87047,87052,87053,1.25609,1.25694,1.25779,1.25694,0.0008500000000000174,0.5394378966455241,1.25694,87047,1.25694,87048,1.25622,87048,1.25485,1,1.2549299999999999,1.25507,0.07626459143970632,5,fvg_bullish,1.255,1.0,1,sl_hit,0.38823529411757024,-0.10588235294108428
GBPUSD,LONG,1,2024-04-29 18:00:00+00:00,2024-04-30 06:00:00+00:00,2024-04-30 07:00:00+00:00,87046,87058,87059,1.25457,1.25694,1.25931,1.25694,0.0023699999999999832,2.2914364640883385,1.25694,87047,1.25694,87048,1.25622,87048,1.25485,1,1.25322,1.25431,0.6193181818182187,12,fvg_bullish,1.253765,1.0,1,sl_hit,0.042194092826999874,-0.1476793248944527
GBPUSD,SHORT,-1,2024-07-25 14:00:00+00:00,2024-07-25 15:00:00+00:00,2024-07-25 16:00:00+00:00,88554,88555,88556,1.28749,1.2870599999999999,1.2866299999999997,1.2870599999999999,0.0004300000000001525,0.3176781002639533,1.2870599999999999,88553,1.2870599999999999,88554,1.2872,88554,1.28776,-1,1.28781,1.28806,0.20231213872838497,1,fvg_bearish,1.287935,1.0,1,sl_hit,2.6976744186038104,-1.5581395348830485
GBPUSD,SHORT,-1,2024-08-01 11:00:00+00:00,2024-08-01 14:00:00+00:00,2024-08-01 15:00:00+00:00,88671,88674,88675,1.2793,1.2755,1.2717,1.2755,0.0038000000000000256,2.176759410801997,1.2755,88672,1.2755,88673,1.27787,88673,1.28197,-1,1.27923,1.28031,0.8244274809160065,3,fvg_bearish,1.27977,1.0,1,sl_hit,0.1789473684210551,-0.8052631578946895
GBPUSD,SHORT,-1,2024-08-01 10:00:00+00:00,2024-08-01 15:00:00+00:00,2024-08-01 16:00:00+00:00,88670,88675,88676,1.28104,1.2755,1.2699600000000002,1.2755,0.005539999999999878,2.8358318098720146,1.2755,88672,1.2755,88673,1.27787,88673,1.28197,-1,1.28083,1.28455,2.5026429601154425,5,fvg_bearish,1.28269,1.0,1,sl_hit,0.43682310469312635,-0.2310469314079379
GBPUSD,SHORT,-1,2025-03-26 11:00:00+00:00,2025-03-27 05:00:00+00:00,2025-03-27 06:00:00+00:00,92667,92685,92686,1.29122,1.28709,1.28296,1.28709,0.004129999999999967,2.553886925795008,1.28709,92680,1.28709,92681,1.28751,92681,1.29269,-1,1.2913700000000001,1.2928,1.0845070422533503,18,fvg_bearish,1.2920850000000002,1.0,1,sl_hit,0.1452784503631813,-0.05569007263921412
GBPUSD,SHORT,-1,2025-11-04 20:00:00+00:00,2025-11-05 07:00:00+00:00,2025-11-05 08:00:00+00:00,96492,96503,96504,1.30215,1.301,1.29985,1.301,0.0011499999999999844,1.0634081902245456,1.301,96494,1.301,96499,1.30153,96499,1.31085,-1,1.30287,1.30398,0.5873015873015645,11,fvg_bearish,1.3034249999999998,1.0,1,sl_hit,0.026086956521717303,-0.8260869565217559
