<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.07.10	16:33:05.577		4091.27			4
2026.07.10	16:33:05.631	4090.61	4091.05			6
2026.07.10	16:33:05.678	4090.55	4091.02			6
2026.07.10	16:33:05.727		4091.04			4
2026.07.10	16:33:05.728		4090.97			4
2026.07.10	16:33:05.900		4090.99			4
2026.07.10	16:33:06.027		4090.93			4
2026.07.10	16:33:06.070		4090.95			4
2026.07.10	16:33:06.084	4090.42	4090.85			6
2026.07.10	16:33:06.133	4090.41	4090.79			6
2026.07.10	16:33:06.182		4090.65			4
2026.07.10	16:33:06.232	4090.24	4090.67			6
2026.07.10	16:33:06.260		4090.69			4
2026.07.10	16:33:06.332	4090.27	4090.70			6
2026.07.10	16:33:06.382	4090.35	4090.77			6
2026.07.10	16:33:06.418		4090.79			4
2026.07.10	16:33:06.431		4090.74			4
2026.07.10	16:33:06.579	4090.36				2
2026.07.10	16:33:06.622		4090.76			4
2026.07.10	16:33:06.634	4090.31	4090.69			6
2026.07.10	16:33:06.683	4090.32	4090.73			6
2026.07.10	16:33:06.730	4090.28	4090.72			6
2026.07.10	16:33:06.774		4090.74			4
2026.07.10	16:33:06.785	4090.30	4090.73			6
2026.07.10	16:33:06.836	4090.27	4090.65			6
2026.07.10	16:33:06.884	4090.31	4090.75			6
2026.07.10	16:33:06.953		4090.77			4
2026.07.10	16:33:06.983	4090.29	4090.72			6
2026.07.10	16:33:07.035		4090.69			4
2026.07.10	16:33:07.084	4090.35	4090.72			6
2026.07.10	16:33:07.128		4090.74			4
2026.07.10	16:33:07.134	4090.41	4090.80			6
2026.07.10	16:33:07.181	4090.52	4090.83			6
2026.07.10	16:33:07.232	4090.51	4090.76			6
2026.07.10	16:33:07.277		4090.77			4
2026.07.10	16:33:07.283	4090.41	4090.74			6
2026.07.10	16:33:07.321		4090.76			4
2026.07.10	16:33:07.334	4090.38	4090.77			6
2026.07.10	16:33:07.382	4090.42	4090.76			6
2026.07.10	16:33:07.433	4090.39	4090.75			6
2026.07.10	16:33:07.479		4090.77			4
2026.07.10	16:33:07.484	4090.44	4090.81			6
2026.07.10	16:33:07.533	4090.39	4090.75			6
2026.07.10	16:33:07.585		4090.74			4
2026.07.10	16:33:07.634	4090.32	4090.63			6
2026.07.10	16:33:07.663		4090.65			4
2026.07.10	16:33:07.683	4090.28				2
2026.07.10	16:33:07.734		4090.67			4
2026.07.10	16:33:07.788		4090.68			4
2026.07.10	16:33:07.836	4090.19	4090.60			6
2026.07.10	16:33:07.864		4090.62			4
2026.07.10	16:33:07.935	4090.21				2
2026.07.10	16:33:07.985	4090.18	4090.61			6
2026.07.10	16:33:08.037	4090.21	4090.65			6
2026.07.10	16:33:08.055		4090.67			4
2026.07.10	16:33:08.086	4090.31	4090.69			6
2026.07.10	16:33:08.133	4090.30	4090.70			6
2026.07.10	16:33:08.215		4090.72			4
2026.07.10	16:33:08.234	4090.33				2
2026.07.10	16:33:08.284	4090.30	4090.67			6
2026.07.10	16:33:08.333	4090.33				2
2026.07.10	16:33:08.381	4090.34	4090.73			6
2026.07.10	16:33:08.412		4090.75			4
2026.07.10	16:33:08.439	4090.37	4090.74			6
2026.07.10	16:33:08.483	4090.30	4090.73			6
2026.07.10	16:33:08.534	4090.31				2
2026.07.10	16:33:08.568		4090.75			4
2026.07.10	16:33:08.587	4090.32	4090.74			6
2026.07.10	16:33:08.635	4090.30	4090.72			6
2026.07.10	16:33:08.737	4090.42	4090.75			6
2026.07.10	16:33:08.751		4090.77			4
2026.07.10	16:33:08.789	4090.36	4090.72			6
2026.07.10	16:33:08.839	4090.39	4090.76			6
2026.07.10	16:33:08.933		4090.78			4
2026.07.10	16:33:08.988	4090.37	4090.73			6
2026.07.10	16:33:09.037	4090.32				2
2026.07.10	16:33:09.122		4090.75			4
2026.07.10	16:33:09.140		4090.63			4
2026.07.10	16:33:09.189		4090.72			4
2026.07.10	16:33:09.237		4090.66			4
2026.07.10	16:33:09.288		4090.68			4
2026.07.10	16:33:09.290		4090.70			4
2026.07.10	16:33:09.336		4090.71			4
2026.07.10	16:33:09.436		4090.73			4
2026.07.10	16:33:09.469		4090.75			4
2026.07.10	16:33:09.537	4090.52	4090.78			6
2026.07.10	16:33:09.588	4090.47				2
2026.07.10	16:33:09.638	4090.48				2
2026.07.10	16:33:09.670		4090.80			4
2026.07.10	16:33:09.688	4090.35	4090.74			6
2026.07.10	16:33:09.738	4090.33	4090.70			6
2026.07.10	16:33:09.786		4090.73			4
2026.07.10	16:33:09.838	4090.31	4090.65			6
2026.07.10	16:33:09.844		4090.67			4
2026.07.10	16:33:09.886	4090.30	4090.69			6
2026.07.10	16:33:10.028		4090.71			4
2026.07.10	16:33:10.137	4090.22	4090.59			6
2026.07.10	16:33:10.188		4090.53			4
2026.07.10	16:33:10.199		4090.55			4
2026.07.10	16:33:10.341		4090.51			4
2026.07.10	16:33:10.378		4090.53			4
2026.07.10	16:33:10.391	4090.10	4090.48			6
2026.07.10	16:33:10.441	4090.00	4090.40			6
2026.07.10	16:33:10.495		4090.37			4
2026.07.10	16:33:10.542	4089.90	4090.28			6
2026.07.10	16:33:10.591	4089.94	4090.30			6
2026.07.10	16:33:10.643	4089.88	4090.25			6
2026.07.10	16:33:10.742		4090.26			4
2026.07.10	16:33:10.795	4089.83	4090.25			6
2026.07.10	16:33:10.844	4089.89	4090.29			6
2026.07.10	16:33:10.892	4089.92	4090.36			6
2026.07.10	16:33:10.941	4090.01	4090.43			6
2026.07.10	16:33:10.991		4090.45			4
2026.07.10	16:33:11.089	4090.00	4090.38			6
2026.07.10	16:33:11.140	4090.09	4090.46			6
