experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos
D,XAUUSD_21274_LONG_4399,XAUUSD,LONG,2025-08-13 12:45:00+00:00,2025-08-13 13:15:00+00:00,2025-08-13 15:00:00+00:00,21276,1.5,0.872135825750059,-1.0,-30.0,7,overlap,bos,internal,none,2,1,0.6315789473681691,2,1.2323232323232485,8.330808080808064,-0.6414141414141263,4.661616161616128,0,-0.2588190451025208,-0.9659258262890683
D,XAUUSD_21274_LONG_4399,XAUUSD,LONG,2025-08-13 12:45:00+00:00,2025-08-13 13:15:00+00:00,2025-08-13 15:30:00+00:00,21276,2.0,0.872135825750059,-1.0,-30.0,9,overlap,bos,internal,none,2,1,0.6315789473681691,2,1.2323232323232485,8.330808080808064,-0.6414141414141263,4.661616161616128,0,-0.2588190451025208,-0.9659258262890683
D,XAUUSD_21296_SHORT_4403,XAUUSD,SHORT,2025-08-13 18:15:00+00:00,2025-08-13 20:45:00+00:00,2025-08-13 22:15:00+00:00,21306,1.0,0.8708818998608795,-1.0,-30.0,6,new_york,bos,internal,none,10,7,-1.0,6,-1.8128078817734272,7.4187192118228475,-5.612479474548594,0.141215106732297,0,-0.8660254037844386,0.5000000000000001
D,XAUUSD_21296_SHORT_4403,XAUUSD,SHORT,2025-08-13 18:15:00+00:00,2025-08-13 20:45:00+00:00,2025-08-13 22:45:00+00:00,21306,1.5,0.8708818998608795,-1.0,-30.0,8,new_york,bos,internal,none,10,7,-1.0,6,-1.8128078817734272,7.4187192118228475,-5.612479474548594,0.141215106732297,0,-0.8660254037844386,0.5000000000000001
D,XAUUSD_21296_SHORT_4403,XAUUSD,SHORT,2025-08-13 18:15:00+00:00,2025-08-13 20:45:00+00:00,2025-08-14 01:45:00+00:00,21306,2.0,0.8708818998608795,-0.6403940886699777,-19.21182266009933,16,new_york,bos,internal,none,10,7,-1.0,6,-1.8128078817734272,7.4187192118228475,-5.612479474548594,0.141215106732297,0,-0.8660254037844386,0.5000000000000001
D,XAUUSD_21343_LONG_4418,XAUUSD,LONG,2025-08-14 07:00:00+00:00,2025-08-14 09:45:00+00:00,2025-08-14 10:30:00+00:00,21354,1.0,0.8699592217395846,-1.0,-30.0,3,london,bos,internal,none,11,9,1.4255319148936891,8,-3.038786673296923,6.7667826951766585,-2.9622078567876335,2.3008453505719366,0,0.7071067811865476,-0.7071067811865475
D,XAUUSD_21343_LONG_4418,XAUUSD,LONG,2025-08-14 07:00:00+00:00,2025-08-14 09:45:00+00:00,2025-08-14 10:30:00+00:00,21354,1.5,0.8699592217395846,-1.0,-30.0,3,london,bos,internal,none,11,9,1.4255319148936891,8,-3.038786673296923,6.7667826951766585,-2.9622078567876335,2.3008453505719366,0,0.7071067811865476,-0.7071067811865475
D,XAUUSD_21343_LONG_4418,XAUUSD,LONG,2025-08-14 07:00:00+00:00,2025-08-14 09:45:00+00:00,2025-08-14 10:30:00+00:00,21354,2.0,0.8699592217395846,-1.0,-30.0,3,london,bos,internal,none,11,9,1.4255319148936891,8,-3.038786673296923,6.7667826951766585,-2.9622078567876335,2.3008453505719366,0,0.7071067811865476,-0.7071067811865475
D,XAUUSD_21358_SHORT_4420,XAUUSD,SHORT,2025-08-14 10:45:00+00:00,2025-08-14 17:00:00+00:00,2025-08-14 17:15:00+00:00,21383,1.0,0.8673594700258583,-1.0,-30.0,1,new_york,bos,internal,none,25,20,-0.7370203160271378,18,-5.600690165146613,-0.740202119792937,-3.5888587626324053,-0.6384027606605491,0,-0.9659258262890683,-0.25881904510252063
D,XAUUSD_21358_SHORT_4420,XAUUSD,SHORT,2025-08-14 10:45:00+00:00,2025-08-14 17:00:00+00:00,2025-08-14 21:00:00+00:00,21383,1.5,0.8673594700258583,0.17829266288721005,5.348779886616302,16,new_york,bos,internal,none,25,20,-0.7370203160271378,18,-5.600690165146613,-0.740202119792937,-3.5888587626324053,-0.6384027606605491,0,-0.9659258262890683,-0.25881904510252063
D,XAUUSD_21358_SHORT_4420,XAUUSD,SHORT,2025-08-14 10:45:00+00:00,2025-08-14 17:00:00+00:00,2025-08-14 21:00:00+00:00,21383,2.0,0.8673594700258583,0.13371949716540757,4.011584914962227,16,new_york,bos,internal,none,25,20,-0.7370203160271378,18,-5.600690165146613,-0.740202119792937,-3.5888587626324053,-0.6384027606605491,0,-0.9659258262890683,-0.25881904510252063
D,XAUUSD_21370_SHORT_4423,XAUUSD,SHORT,2025-08-14 13:45:00+00:00,2025-08-14 17:00:00+00:00,2025-08-14 17:15:00+00:00,21383,1.0,0.880981639687871,-1.0,-30.0,1,new_york,bos,internal,none,13,12,-1.0,9,-5.600690165146613,-0.740202119792937,-3.5888587626324053,-0.6384027606605491,0,-0.9659258262890683,-0.25881904510252063
D,XAUUSD_21370_SHORT_4423,XAUUSD,SHORT,2025-08-14 13:45:00+00:00,2025-08-14 17:00:00+00:00,2025-08-14 21:00:00+00:00,21383,1.5,0.880981639687871,0.17829266288721005,5.348779886616302,16,new_york,bos,internal,none,13,12,-1.0,9,-5.600690165146613,-0.740202119792937,-3.5888587626324053,-0.6384027606605491,0,-0.9659258262890683,-0.25881904510252063
D,XAUUSD_21370_SHORT_4423,XAUUSD,SHORT,2025-08-14 13:45:00+00:00,2025-08-14 17:00:00+00:00,2025-08-14 21:00:00+00:00,21383,2.0,0.880981639687871,0.13371949716540757,4.011584914962227,16,new_york,bos,internal,none,13,12,-1.0,9,-5.600690165146613,-0.740202119792937,-3.5888587626324053,-0.6384027606605491,0,-0.9659258262890683,-0.25881904510252063
