streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
185,loss,5,2025-09-05 14:15:00+00:00,2025-09-05 14:45:00+00:00,-5.0,-150.0,EURUSD_21905_LONG_4654,EURUSD_21910_LONG_4655
186,win,1,2025-09-05 15:30:00+00:00,2025-09-05 15:30:00+00:00,3.0,90.0,EURUSD_21905_LONG_4654,EURUSD_21905_LONG_4654
187,loss,6,2025-09-09 09:00:00+00:00,2025-09-09 09:30:00+00:00,-6.0,-180.0,XAUUSD_22986_LONG_4754,GBPUSD_22080_LONG_4491
188,win,3,2025-09-09 21:30:00+00:00,2025-09-09 21:30:00+00:00,3.524515863205364,105.73547589616092,GBPUSD_22107_SHORT_4495,GBPUSD_22107_SHORT_4495
189,loss,6,2025-09-10 01:30:00+00:00,2025-09-11 14:30:00+00:00,-5.051529790659983,-151.5458937197995,GBPUSD_22132_SHORT_4501,GBPUSD_22289_SHORT_4531
190,win,3,2025-09-11 21:45:00+00:00,2025-09-11 21:45:00+00:00,2.834768877404595,85.04306632213783,GBPUSD_22309_LONG_4533,GBPUSD_22309_LONG_4533
191,loss,6,2025-09-12 17:45:00+00:00,2025-09-15 00:45:00+00:00,-3.7769808743171644,-113.30942622951494,XAUUSD_23296_LONG_4814,EURUSD_22417_LONG_4777
192,win,3,2025-09-17 20:15:00+00:00,2025-09-17 20:15:00+00:00,2.6030581039754908,78.09174311926472,XAUUSD_23570_LONG_4883,XAUUSD_23570_LONG_4883
193,loss,10,2025-09-18 09:45:00+00:00,2025-09-19 10:15:00+00:00,-9.517331589274084,-285.5199476782225,EURUSD_22752_SHORT_4852,GBPUSD_22854_SHORT_4664
194,win,2,2025-09-19 14:00:00+00:00,2025-09-19 14:00:00+00:00,1.0405405405406414,31.216216216219244,GBPUSD_22854_SHORT_4664,GBPUSD_22854_SHORT_4664
