experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability
D,XAUUSD_25281_LONG_5261,XAUUSD,LONG,2025-10-14 06:30:00+00:00,2025-10-14 07:30:00+00:00,2025-10-14 08:30:00+00:00,25285,1.5,0.8799078916097548,-1.0,-30.0,4,london,bos,internal,none,4,1,0.7920792079207386,2,5.768191642651157,19.7454971181551,-0.8069164265130175,5.995136887607947,0,0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,2.0,0.7167970916790137
D,XAUUSD_25281_LONG_5261,XAUUSD,LONG,2025-10-14 06:30:00+00:00,2025-10-14 07:30:00+00:00,2025-10-14 08:30:00+00:00,25285,2.0,0.8799078916097548,-1.0,-30.0,4,london,bos,internal,none,4,1,0.7920792079207386,2,5.768191642651157,19.7454971181551,-0.8069164265130175,5.995136887607947,0,0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,2.0,0.7167970916790137
D,XAUUSD_25282_LONG_5262,XAUUSD,LONG,2025-10-14 06:45:00+00:00,2025-10-14 07:15:00+00:00,2025-10-14 08:30:00+00:00,25284,1.0,0.8810153293410055,-1.0,-30.0,5,london,bos,internal,none,2,1,2.0,2,5.457903494176284,18.370049916804827,-0.6161397670548866,5.937770382695392,0,0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,2.0,0.7094163002876148
D,XAUUSD_25282_LONG_5262,XAUUSD,LONG,2025-10-14 06:45:00+00:00,2025-10-14 07:15:00+00:00,2025-10-14 08:30:00+00:00,25284,1.5,0.8810153293410055,-1.0,-30.0,5,london,bos,internal,none,2,1,2.0,2,5.457903494176284,18.370049916804827,-0.6161397670548866,5.937770382695392,0,0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,2.0,0.7094163002876148
D,XAUUSD_25282_LONG_5262,XAUUSD,LONG,2025-10-14 06:45:00+00:00,2025-10-14 07:15:00+00:00,2025-10-14 08:30:00+00:00,25284,2.0,0.8810153293410055,-1.0,-30.0,5,london,bos,internal,none,2,1,2.0,2,5.457903494176284,18.370049916804827,-0.6161397670548866,5.937770382695392,0,0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,2.0,0.7094163002876148
D,XAUUSD_25290_SHORT_5265,XAUUSD,SHORT,2025-10-14 08:45:00+00:00,2025-10-14 15:15:00+00:00,2025-10-14 16:30:00+00:00,25316,1.0,0.8370208371222432,-1.0,-30.0,5,overlap,bos,internal,none,26,17,-0.09890109890108711,12,0.20057627661276778,12.622858972306522,-2.943652953417656,0.9502161037297306,0,-0.7071067811865471,-0.7071067811865479,0.0,2.0,0.0,0.0,1.0,2.0,0.596592578465525
D,XAUUSD_25290_SHORT_5265,XAUUSD,SHORT,2025-10-14 08:45:00+00:00,2025-10-14 15:15:00+00:00,2025-10-14 17:00:00+00:00,25316,1.5,0.8370208371222432,-1.0,-30.0,7,overlap,bos,internal,none,26,17,-0.09890109890108711,12,0.20057627661276778,12.622858972306522,-2.943652953417656,0.9502161037297306,0,-0.7071067811865471,-0.7071067811865479,0.0,2.0,0.0,0.0,1.0,2.0,0.596592578465525
D,XAUUSD_25290_SHORT_5265,XAUUSD,SHORT,2025-10-14 08:45:00+00:00,2025-10-14 15:15:00+00:00,2025-10-14 17:00:00+00:00,25316,2.0,0.8370208371222432,-1.0,-30.0,7,overlap,bos,internal,none,26,17,-0.09890109890108711,12,0.20057627661276778,12.622858972306522,-2.943652953417656,0.9502161037297306,0,-0.7071067811865471,-0.7071067811865479,0.0,2.0,0.0,0.0,1.0,2.0,0.596592578465525
D,XAUUSD_25590_SHORT_5324,XAUUSD,SHORT,2025-10-17 14:45:00+00:00,2025-10-17 16:45:00+00:00,2025-10-17 19:30:00+00:00,25598,1.0,0.8709039672080181,3.0,90.0,11,overlap,bos,internal,none,8,7,-1.0,7,-2.5269746457393194,3.298722755290117,-3.381012899536097,0.7050263709728832,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,2.0,0.603141264432065
D,XAUUSD_25590_SHORT_5324,XAUUSD,SHORT,2025-10-17 14:45:00+00:00,2025-10-17 16:45:00+00:00,2025-10-17 20:45:00+00:00,25598,1.5,0.8709039672080181,1.561288682722264,46.83866048166792,16,overlap,bos,internal,none,8,7,-1.0,7,-2.5269746457393194,3.298722755290117,-3.381012899536097,0.7050263709728832,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,1.0,2.0,0.603141264432065
