experiment,setup_id,symbol,side,create_time,entry_time,exit_time,entry_idx,sl_atr_mult,ml_confidence,pnl_r,pnl_usd,holding_bars,session_bucket,structure_event,structure_scale,ob_state,bars_since_fvg_creation,bars_since_mitigation,mitigation_depth_pct,mitigation_touch_count,distance_prev_day_high,distance_prev_day_low,distance_eqh,distance_eql,ob_overlap_with_fvg,hour_sin,hour_cos,ob_state_code,session_bucket_code,structure_event_code,structure_scale_code,side_code,symbol_code,ml_oof_probability,hour_x,fvg_size_atr,hour_y,hour
D,XAUUSD_17194_LONG_3525,XAUUSD,LONG,2025-06-11 21:15:00+00:00,2025-06-11 21:45:00+00:00,2025-06-12 02:00:00+00:00,17196,1.5,0.8910393148934456,3.0,90.0,13,new_york,bos,internal,none,2,1,-0.1008836524300701,1,-0.8433927754915422,6.731138545953386,-0.5441243712848096,3.9288980338363535,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.0,0.0,0.0,2.0,0.5894098718051453,,2.253941908713695,21,21
D,XAUUSD_17194_LONG_3525,XAUUSD,LONG,2025-06-11 21:15:00+00:00,2025-06-11 21:45:00+00:00,2025-06-12 02:45:00+00:00,17196,2.0,0.8910393148934456,1.7323959762231165,51.971879286693486,16,new_york,bos,internal,none,2,1,-0.1008836524300701,1,-0.8433927754915422,6.731138545953386,-0.5441243712848096,3.9288980338363535,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.0,0.0,0.0,2.0,0.5894098718051453,,2.253941908713695,21,21
D,XAUUSD_25290_SHORT_5265,XAUUSD,SHORT,2025-10-14 08:45:00+00:00,2025-10-14 15:15:00+00:00,2025-10-14 16:30:00+00:00,25316,1.0,0.8370208371222432,-1.0,-30.0,5,overlap,bos,internal,none,26,17,-0.0989010989010871,12,0.2005762766127677,12.622858972306522,-2.943652953417656,0.9502161037297306,0,-0.7071067811865471,-0.7071067811865479,0.0,2.0,0.0,0.0,1.0,2.0,0.596592578465525,,2.921364653243891,15,8
D,XAUUSD_25290_SHORT_5265,XAUUSD,SHORT,2025-10-14 08:45:00+00:00,2025-10-14 15:15:00+00:00,2025-10-14 17:00:00+00:00,25316,1.5,0.8370208371222432,-1.0,-30.0,7,overlap,bos,internal,none,26,17,-0.0989010989010871,12,0.2005762766127677,12.622858972306522,-2.943652953417656,0.9502161037297306,0,-0.7071067811865471,-0.7071067811865479,0.0,2.0,0.0,0.0,1.0,2.0,0.596592578465525,,2.921364653243891,15,8
D,XAUUSD_25290_SHORT_5265,XAUUSD,SHORT,2025-10-14 08:45:00+00:00,2025-10-14 15:15:00+00:00,2025-10-14 17:00:00+00:00,25316,2.0,0.8370208371222432,-1.0,-30.0,7,overlap,bos,internal,none,26,17,-0.0989010989010871,12,0.2005762766127677,12.622858972306522,-2.943652953417656,0.9502161037297306,0,-0.7071067811865471,-0.7071067811865479,0.0,2.0,0.0,0.0,1.0,2.0,0.596592578465525,,2.921364653243891,15,8
D,XAUUSD_26056_LONG_5421,XAUUSD,LONG,2025-10-24 16:15:00+00:00,2025-10-24 16:45:00+00:00,2025-10-24 20:45:00+00:00,26058,1.0,0.8929546894398003,0.1487443657436896,4.462330972310689,16,overlap,bos,internal,none,2,1,0.4589314194577369,2,-3.6930671817986735,3.0132002575660577,-1.2620734063103176,4.608821635544155,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.7058546216249446,,2.021765417170536,16,16
D,XAUUSD_26056_LONG_5421,XAUUSD,LONG,2025-10-24 16:15:00+00:00,2025-10-24 16:45:00+00:00,2025-10-24 20:45:00+00:00,26058,1.5,0.8929546894398003,0.0991629104957931,2.9748873148737927,16,overlap,bos,internal,none,2,1,0.4589314194577369,2,-3.6930671817986735,3.0132002575660577,-1.2620734063103176,4.608821635544155,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.7058546216249446,,2.021765417170536,16,16
D,XAUUSD_26056_LONG_5421,XAUUSD,LONG,2025-10-24 16:15:00+00:00,2025-10-24 16:45:00+00:00,2025-10-24 20:45:00+00:00,26058,2.0,0.8929546894398003,0.0743721828718448,2.2311654861553447,16,overlap,bos,internal,none,2,1,0.4589314194577369,2,-3.6930671817986735,3.0132002575660577,-1.2620734063103176,4.608821635544155,0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,0.0,0.0,0.0,2.0,0.7058546216249446,,2.021765417170536,16,16
D,XAUUSD_34094_LONG_7111,XAUUSD,LONG,2026-02-27 15:15:00+00:00,2026-02-27 18:00:00+00:00,2026-02-27 18:15:00+00:00,34105,1.0,0.8798528145526947,-1.0,-30.0,1,new_york,bos,internal,none,11,10,-0.8994530921329288,2,2.6540284360190114,6.755160393247515,0.397007559437588,4.453174572088876,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,0.0,2.0,0.5748085588729589,,2.6472038819505688,18,15
D,XAUUSD_34094_LONG_7111,XAUUSD,LONG,2026-02-27 15:15:00+00:00,2026-02-27 18:00:00+00:00,2026-02-27 18:15:00+00:00,34105,1.5,0.8798528145526947,-1.0,-30.0,1,new_york,bos,internal,none,11,10,-0.8994530921329288,2,2.6540284360190114,6.755160393247515,0.397007559437588,4.453174572088876,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,0.0,2.0,0.5748085588729589,,2.6472038819505688,18,15
D,XAUUSD_34094_LONG_7111,XAUUSD,LONG,2026-02-27 15:15:00+00:00,2026-02-27 18:00:00+00:00,2026-02-27 22:00:00+00:00,34105,2.0,0.8798528145526947,-0.0619638870392921,-1.858916611178764,16,new_york,bos,internal,none,11,10,-0.8994530921329288,2,2.6540284360190114,6.755160393247515,0.397007559437588,4.453174572088876,0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.0,0.0,0.0,2.0,0.5748085588729589,,2.6472038819505688,18,15
D,XAUUSD_37840_SHORT_7898,XAUUSD,SHORT,2026-04-28 08:45:00+00:00,2026-04-28 09:15:00+00:00,2026-04-28 13:15:00+00:00,37842,1.0,0.8688641153287202,2.047706153508428,61.43118460525282,16,london,bos,internal,none,2,1,0.4044811320754515,2,-10.079754152337705,-3.644691592887969,-6.123655520597029,0.7897856149850037,0,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,1.0,2.0,0.6421151759038043,,2.127407938356789,9,8
D,XAUUSD_37840_SHORT_7898,XAUUSD,SHORT,2026-04-28 08:45:00+00:00,2026-04-28 09:15:00+00:00,2026-04-28 13:15:00+00:00,37842,1.5,0.8688641153287202,1.365137435672285,40.95412307016855,16,london,bos,internal,none,2,1,0.4044811320754515,2,-10.079754152337705,-3.644691592887969,-6.123655520597029,0.7897856149850037,0,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,1.0,2.0,0.6421151759038043,,2.127407938356789,9,8
D,XAUUSD_37840_SHORT_7898,XAUUSD,SHORT,2026-04-28 08:45:00+00:00,2026-04-28 09:15:00+00:00,2026-04-28 13:15:00+00:00,37842,2.0,0.8688641153287202,1.0238530767542138,30.71559230262641,16,london,bos,internal,none,2,1,0.4044811320754515,2,-10.079754152337705,-3.644691592887969,-6.123655520597029,0.7897856149850037,0,0.7071067811865476,-0.7071067811865475,0.0,0.0,0.0,0.0,1.0,2.0,0.6421151759038043,,2.127407938356789,9,8
