file,label,symbol,strategy,side,create_time,entry_time,sl_atr_mult,pnl_r,entry_price,sl_price,tp_price,fvg_size_atr,ml_confidence,atr_entry,first_mitigation_time
results\setup_examples\trade_025.png,WIN,GBPUSD,B_mitigation,SHORT,2026-05-29 01:45:00+00:00,2026-05-29 09:00:00+00:00,1.5,3.0,1.34429,1.3448514285714286,1.3426057142857144,0.31428571428587615,0.82913841889197,0.0003742857142856921,2026-05-29 02:00:00+00:00
results\setup_examples\trade_026.png,WIN,EURUSD,B_mitigation,SHORT,2026-05-29 04:45:00+00:00,2026-05-29 09:30:00+00:00,1.5,3.0,1.16495,1.1654749999999998,1.163375,1.2510638297875718,0.8763009019438174,0.00034999999999999317,2026-05-29 09:30:00+00:00
results\setup_examples\trade_027.png,WIN,GBPUSD,B_mitigation,SHORT,2026-05-29 04:45:00+00:00,2026-05-29 09:30:00+00:00,1.5,3.0,1.34446,1.3450621428571428,1.3426535714285717,0.31578947368452687,0.8708420813477105,0.0004014285714285367,2026-05-29 09:30:00+00:00
results\setup_examples\trade_028.png,WIN,EURUSD,B_mitigation,SHORT,2026-05-29 03:45:00+00:00,2026-05-29 09:45:00+00:00,1.5,3.0,1.1652,1.1657625,1.1635125,0.18181818181840464,0.8702892719131355,0.00037499999999999833,2026-05-29 04:00:00+00:00
results\setup_examples\trade_029.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-27 02:45:00+00:00,2026-05-29 11:00:00+00:00,1.5,0.7617304492512628,4518.49,4505.611428571428,4557.125714285715,0.8383233532934371,0.8718685146668883,8.585714285714468,2026-05-27 03:00:00+00:00
results\setup_examples\trade_030.png,WIN,EURUSD,B_mitigation,SHORT,2026-05-29 10:30:00+00:00,2026-05-29 13:00:00+00:00,1.5,0.0906148867313156,1.16445,1.1654432142857143,1.161470357142857,0.9140127388535741,0.8797798781306351,0.0006621428571428492,2026-05-29 10:45:00+00:00
results\setup_examples\trade_031.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-29 12:15:00+00:00,2026-05-29 15:15:00+00:00,1.5,3.0,4522.14,4508.052857142858,4564.401428571428,0.6589023611998026,0.8730224618301784,9.39142857142841,2026-05-29 15:15:00+00:00
results\setup_examples\trade_032.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-29 10:45:00+00:00,2026-05-29 15:15:00+00:00,1.5,3.0,4522.07,4507.982857142857,4564.331428571428,0.6260822993839934,0.8806481071108316,9.39142857142841,2026-05-29 11:00:00+00:00
results\setup_examples\trade_033.png,WIN,GBPUSD,B_mitigation,LONG,2026-05-29 16:15:00+00:00,2026-05-29 17:15:00+00:00,1.5,3.0,1.34348,1.3424053571428571,1.3467039285714286,0.04555314533618903,0.8814251020845538,0.0007164285714285702,2026-05-29 17:15:00+00:00
results\setup_examples\trade_034.png,WIN,XAUUSD,B_mitigation,LONG,2026-05-29 16:45:00+00:00,2026-05-29 17:15:00+00:00,1.5,3.0,4529.57,4512.360714285714,4581.197857142857,0.0450948813108363,0.8771557048194738,11.4728571428572,2026-05-29 17:15:00+00:00
results\setup_examples\trade_035.png,WIN,GBPUSD,B_mitigation,LONG,2026-05-29 16:00:00+00:00,2026-05-29 17:30:00+00:00,1.5,3.0,1.3430900000000001,1.341946785714286,1.3465196428571429,0.17264573991041157,0.8835449332906639,0.0007621428571428382,2026-05-29 17:30:00+00:00
results\setup_examples\trade_036.png,WIN,GBPUSD,B_mitigation,SHORT,2026-05-26 14:45:00+00:00,2026-05-29 17:45:00+00:00,1.5,0.6740027510316443,1.34711,1.3486678571428572,1.3424364285714288,1.483443708608992,0.8700507568163878,0.0010385714285714126,2026-05-26 15:00:00+00:00
results\setup_examples\trade_037.png,WIN,XAUUSD,B_mitigation,SHORT,2026-05-29 18:45:00+00:00,2026-05-29 19:30:00+00:00,1.5,0.5278481381197713,4571.41,4595.943571428571,4497.809285714286,0.3981441704613722,0.8592932871044932,16.355714285714253,2026-05-29 19:00:00+00:00
results\setup_examples\trade_038.png,WIN,EURUSD,B_mitigation,SHORT,2026-05-29 20:45:00+00:00,2026-05-29 21:15:00+00:00,1.5,0.5336577453368029,1.16657,1.1674507142857145,1.1639278571428573,0.025044722719027912,0.8759956271461978,0.0005871428571428496,2026-05-29 21:15:00+00:00
results\setup_examples\trade_039.png,WIN,GBPUSD,B_mitigation,SHORT,2026-05-29 20:30:00+00:00,2026-05-29 21:30:00+00:00,1.5,0.8726287262870368,1.34638,1.3474342857142856,1.3432171428571427,0.1906058543226434,0.8793387772957925,0.0007028571428571796,2026-05-29 21:30:00+00:00
results\setup_examples\trade_040.png,WIN,EURUSD,B_mitigation,SHORT,2026-05-29 20:30:00+00:00,2026-05-29 21:30:00+00:00,1.5,0.8988566402815988,1.16683,1.1676421428571429,1.1643935714285716,0.07446808510632141,0.8763983959979911,0.0005414285714285658,2026-05-29 21:30:00+00:00
